# Network Topology at time 0.0
# Node_ID X_Position Y_Position State
0 379.21 405.95 MOVING
1 602.00 764.82 MOVING
2 190.65 220.26 MOVING
3 913.62 291.11 MOVING
4 580.34 818.23 MOVING
5 438.01 690.87 MOVING
6 421.20 135.38 MOVING
7 121.87 235.42 MOVING
8 460.12 302.54 MOVING
9 985.19 102.19 MOVING
10 608.21 177.35 MOVING
11 638.65 866.64 MOVING
12 565.13 156.94 MOVING
13 730.07 216.56 MOVING
14 281.32 161.77 MOVING
15 733.01 618.94 MOVING
16 50.41 261.72 MOVING
17 806.43 642.21 MOVING
18 496.40 985.02 MOVING
19 807.12 228.17 MOVING
20 685.45 284.11 MOVING
21 162.35 644.96 MOVING
22 697.25 608.36 MOVING
23 86.06 414.41 MOVING
24 274.61 407.80 MOVING
