# Network Topology at time 2000.0
# Node_ID X_Position Y_Position State
0 868.27 185.00 MOVING
1 566.92 203.80 PAUSED
2 452.02 660.17 MOVING
3 267.22 735.71 MOVING
4 766.18 65.68 MOVING
5 666.68 452.91 MOVING
6 945.47 881.61 MOVING
7 515.73 204.50 MOVING
8 395.80 550.19 MOVING
9 82.17 881.06 MOVING
10 491.03 727.00 MOVING
11 494.43 708.81 MOVING
12 163.60 235.07 MOVING
13 277.96 695.50 MOVING
14 782.69 369.11 MOVING
15 200.32 343.34 MOVING
16 324.43 656.99 MOVING
17 169.09 679.51 MOVING
18 816.08 536.85 MOVING
19 353.02 330.53 MOVING
20 124.90 125.60 MOVING
21 896.68 540.85 MOVING
22 740.63 735.23 MOVING
23 866.51 280.06 MOVING
24 495.07 708.79 MOVING
