# Network Topology at time 4000.0
# Node_ID X_Position Y_Position State
0 360.78 604.20 MOVING
1 355.15 953.09 MOVING
2 415.98 874.90 MOVING
3 906.08 199.31 MOVING
4 298.05 255.63 MOVING
5 426.55 549.69 MOVING
6 648.62 834.11 MOVING
7 576.66 447.91 MOVING
8 217.82 618.40 MOVING
9 988.69 861.10 PAUSED
10 462.20 558.25 MOVING
11 397.64 602.65 MOVING
12 245.54 254.47 MOVING
13 595.46 261.43 MOVING
14 640.62 841.61 MOVING
15 229.52 286.59 MOVING
16 243.99 530.16 MOVING
17 824.24 765.62 MOVING
18 935.64 607.43 MOVING
19 369.50 253.93 MOVING
20 627.71 248.00 MOVING
21 710.16 340.65 MOVING
22 628.20 373.39 MOVING
23 251.11 425.54 MOVING
24 158.95 433.61 PAUSED
