# Network Topology at time 4000.0
# Node_ID X_Position Y_Position State
0 306.52 766.64 MOVING
1 466.36 492.51 MOVING
2 431.07 283.21 MOVING
3 328.01 536.14 MOVING
4 174.84 532.95 MOVING
5 657.75 488.82 MOVING
6 296.51 692.81 MOVING
7 466.05 448.79 MOVING
8 555.57 153.69 MOVING
9 245.21 296.51 PAUSED
10 530.97 554.13 MOVING
11 587.98 196.54 PAUSED
12 309.06 793.55 MOVING
13 446.42 241.29 MOVING
14 201.51 410.42 MOVING
15 796.08 715.55 MOVING
16 433.00 641.08 MOVING
17 593.77 379.99 MOVING
18 476.60 163.44 PAUSED
19 548.13 585.69 MOVING
20 956.72 540.94 PAUSED
21 326.30 124.42 MOVING
22 909.21 233.78 MOVING
23 179.73 295.66 MOVING
24 354.61 915.12 PAUSED
