# Network Topology at time 2000.0
# Node_ID X_Position Y_Position State
0 390.26 426.13 MOVING
1 679.35 706.60 MOVING
2 366.29 360.12 MOVING
3 390.94 379.47 MOVING
4 605.46 618.88 MOVING
5 354.60 669.75 MOVING
6 863.72 72.22 MOVING
7 744.25 266.18 MOVING
8 740.70 507.53 MOVING
9 894.97 434.62 MOVING
10 412.03 61.22 PAUSED
11 429.58 561.38 MOVING
12 427.94 667.66 MOVING
13 430.74 650.07 MOVING
14 326.76 286.70 MOVING
15 657.78 849.79 MOVING
16 626.17 269.18 MOVING
17 319.15 310.98 MOVING
18 413.39 442.91 MOVING
19 855.49 116.98 MOVING
20 860.92 731.43 MOVING
21 184.43 807.30 MOVING
22 608.21 899.28 MOVING
23 197.34 612.47 MOVING
24 71.30 330.56 PAUSED
