# Network Topology at time 0.0
# Node_ID X_Position Y_Position State
0 781.71 159.61 MOVING
1 775.71 351.42 MOVING
2 142.16 263.02 MOVING
3 489.63 205.34 MOVING
4 317.07 925.58 MOVING
5 541.40 249.72 MOVING
6 619.98 921.87 MOVING
7 53.84 902.99 MOVING
8 238.60 75.12 MOVING
9 888.19 769.08 MOVING
10 23.31 819.05 MOVING
11 317.26 195.88 MOVING
12 709.57 769.24 MOVING
13 993.97 680.12 MOVING
14 820.82 589.62 MOVING
15 172.28 543.30 MOVING
16 385.03 205.91 MOVING
17 425.69 577.41 MOVING
18 933.09 439.14 MOVING
19 495.84 589.82 MOVING
20 963.00 134.18 MOVING
21 141.76 517.24 MOVING
22 181.42 140.39 MOVING
23 451.66 974.49 MOVING
24 987.82 288.95 MOVING
