# Network Topology at time 2000.0
# Node_ID X_Position Y_Position State
0 592.05 549.27 MOVING
1 585.01 320.00 MOVING
2 276.22 368.14 MOVING
3 273.66 347.64 MOVING
4 932.73 320.20 PAUSED
5 911.00 207.90 MOVING
6 843.92 763.98 MOVING
7 11.49 170.14 MOVING
8 501.06 390.54 MOVING
9 433.66 479.25 MOVING
10 338.20 52.84 MOVING
11 515.93 188.52 MOVING
12 311.30 983.99 PAUSED
13 894.26 844.36 PAUSED
14 611.48 129.78 MOVING
15 370.52 343.57 MOVING
16 822.64 139.87 MOVING
17 784.04 410.17 MOVING
18 114.24 99.29 MOVING
19 723.09 894.89 MOVING
20 488.59 662.37 MOVING
21 476.48 135.59 MOVING
22 654.57 390.42 PAUSED
23 772.85 254.70 MOVING
24 240.53 551.94 PAUSED
