# Network Topology at time 2000.0
# Node_ID X_Position Y_Position State
0 654.39 253.97 MOVING
1 406.27 119.50 MOVING
2 184.55 771.90 MOVING
3 430.58 705.53 MOVING
4 542.18 499.87 MOVING
5 731.31 72.42 MOVING
6 176.82 859.89 MOVING
7 139.57 789.39 MOVING
8 523.60 228.22 MOVING
9 248.23 934.58 MOVING
10 145.68 362.95 MOVING
11 26.94 705.11 MOVING
12 695.77 834.49 MOVING
13 879.03 836.08 MOVING
14 692.47 402.36 MOVING
15 856.87 454.30 MOVING
16 199.19 841.56 MOVING
17 216.08 730.42 MOVING
18 377.49 517.62 MOVING
19 985.85 222.65 MOVING
20 960.94 541.99 MOVING
21 122.61 755.75 MOVING
22 879.34 147.61 MOVING
23 478.26 91.81 MOVING
24 868.92 17.01 MOVING
