# Network Topology at time 2000.0
# Node_ID X_Position Y_Position State
0 205.49 687.96 MOVING
1 644.46 358.64 MOVING
2 156.46 560.51 PAUSED
3 973.40 917.04 MOVING
4 201.51 704.48 MOVING
5 274.77 977.71 MOVING
6 321.36 18.06 MOVING
7 870.11 3.52 MOVING
8 273.30 280.01 MOVING
9 345.41 289.50 MOVING
10 541.80 949.63 MOVING
11 834.62 414.28 MOVING
12 145.90 121.87 MOVING
13 837.95 438.46 MOVING
14 226.43 593.50 MOVING
15 519.16 583.59 MOVING
16 207.97 409.16 MOVING
17 351.86 665.63 MOVING
18 390.73 35.06 MOVING
19 214.85 937.54 MOVING
20 414.28 818.54 MOVING
21 809.69 523.03 MOVING
22 833.78 277.97 MOVING
23 506.13 578.74 MOVING
24 638.32 223.15 PAUSED
