# Network Topology at time 2000.0
# Node_ID X_Position Y_Position State
0 494.48 635.02 MOVING
1 751.58 644.90 MOVING
2 152.59 659.95 MOVING
3 383.59 487.71 MOVING
4 682.51 543.84 MOVING
5 428.34 289.57 MOVING
6 659.81 194.99 MOVING
7 631.34 236.25 MOVING
8 315.77 780.41 MOVING
9 752.76 337.77 MOVING
10 827.47 227.42 MOVING
11 651.62 409.40 MOVING
12 798.96 740.97 MOVING
13 28.62 768.13 MOVING
14 228.54 581.87 MOVING
15 331.83 243.63 MOVING
16 303.54 809.21 MOVING
17 350.37 584.08 MOVING
18 586.35 231.61 MOVING
19 170.36 392.17 MOVING
20 358.10 74.24 MOVING
21 744.32 530.31 MOVING
22 469.42 266.92 MOVING
23 352.04 879.05 MOVING
24 226.99 957.85 MOVING
