# Network Topology at time 4000.0
# Node_ID X_Position Y_Position State
0 485.72 473.73 MOVING
1 761.79 386.94 MOVING
2 311.35 926.90 MOVING
3 947.96 298.23 MOVING
4 533.64 816.81 MOVING
5 353.67 170.04 MOVING
6 843.36 430.80 MOVING
7 332.39 408.53 MOVING
8 562.06 527.88 MOVING
9 435.44 417.97 MOVING
10 636.90 354.72 MOVING
11 7.20 51.18 MOVING
12 932.03 591.95 MOVING
13 462.19 38.79 MOVING
14 332.50 288.10 MOVING
15 794.43 25.40 MOVING
16 970.87 409.56 MOVING
17 171.02 304.30 MOVING
18 58.25 18.17 MOVING
19 151.79 80.84 MOVING
20 4.70 71.35 MOVING
21 104.03 393.13 MOVING
22 407.30 518.08 MOVING
23 135.00 945.02 MOVING
24 411.94 509.89 MOVING
