# Network Topology at time 2000.0
# Node_ID X_Position Y_Position State
0 375.13 860.21 MOVING
1 522.92 680.57 MOVING
2 552.81 63.25 MOVING
3 96.93 156.32 MOVING
4 960.45 276.19 MOVING
5 574.40 15.57 MOVING
6 843.17 228.74 MOVING
7 610.45 810.94 MOVING
8 565.29 899.55 MOVING
9 581.90 953.64 MOVING
10 268.50 729.65 MOVING
11 972.17 270.22 MOVING
12 632.39 513.99 MOVING
13 713.37 670.58 MOVING
14 237.03 782.91 MOVING
15 331.69 636.15 MOVING
16 232.42 236.09 MOVING
17 955.62 172.75 MOVING
18 448.51 110.45 MOVING
19 418.86 811.53 MOVING
20 283.00 298.79 MOVING
21 404.55 240.32 MOVING
22 956.37 735.07 MOVING
23 927.98 546.06 MOVING
24 442.59 554.61 MOVING
