# Network Topology at time 4000.0
# Node_ID X_Position Y_Position State
0 747.54 684.17 MOVING
1 367.33 637.89 MOVING
2 496.09 470.78 MOVING
3 478.79 73.25 MOVING
4 435.37 738.72 MOVING
5 807.34 939.06 MOVING
6 526.75 351.64 MOVING
7 401.23 27.56 MOVING
8 675.44 138.46 MOVING
9 668.91 530.77 MOVING
10 646.95 789.27 MOVING
11 424.32 690.83 MOVING
12 330.18 910.99 MOVING
13 645.81 591.82 MOVING
14 203.06 333.03 MOVING
15 753.57 504.36 MOVING
16 263.75 459.31 MOVING
17 748.49 266.63 MOVING
18 370.12 793.84 MOVING
19 373.78 606.94 MOVING
20 698.97 629.68 MOVING
21 353.50 533.15 MOVING
22 628.13 469.13 MOVING
23 468.46 937.28 MOVING
24 835.39 353.14 MOVING
