# Network Topology at time 4000.0
# Node_ID X_Position Y_Position State
0 26.56 356.17 MOVING
1 355.92 930.37 MOVING
2 906.27 641.11 MOVING
3 640.75 166.15 MOVING
4 479.70 271.93 PAUSED
5 376.60 488.56 MOVING
6 362.59 996.01 MOVING
7 527.17 106.56 PAUSED
8 333.16 402.12 PAUSED
9 765.93 32.67 MOVING
10 539.79 313.05 PAUSED
11 431.26 253.74 MOVING
12 459.03 873.10 MOVING
13 15.06 126.34 MOVING
14 583.76 205.78 MOVING
15 441.69 553.48 MOVING
16 158.34 204.74 MOVING
17 704.17 937.04 MOVING
18 252.94 101.68 PAUSED
19 237.97 557.36 PAUSED
20 350.20 875.48 MOVING
21 14.65 210.86 MOVING
22 898.11 591.71 MOVING
23 787.49 278.79 MOVING
24 172.18 809.63 MOVING
