# Network Topology at time 4000.0
# Node_ID X_Position Y_Position State
0 486.16 179.79 MOVING
1 461.70 340.42 MOVING
2 673.59 495.65 MOVING
3 79.35 487.98 MOVING
4 421.93 440.26 MOVING
5 390.99 383.20 MOVING
6 391.74 847.82 MOVING
7 801.92 722.14 MOVING
8 858.66 841.37 MOVING
9 577.22 88.67 MOVING
10 215.55 814.27 MOVING
11 794.50 619.91 MOVING
12 573.19 343.43 MOVING
13 612.25 308.69 MOVING
14 756.80 398.64 MOVING
15 438.01 554.19 MOVING
16 467.87 513.30 MOVING
17 348.60 689.50 MOVING
18 902.09 721.82 MOVING
19 487.74 115.11 MOVING
20 645.47 592.91 MOVING
21 316.08 481.45 MOVING
22 445.67 391.57 MOVING
23 505.08 299.50 MOVING
24 623.76 357.78 MOVING
