# Network Topology at time 4000.0
# Node_ID X_Position Y_Position State
0 55.08 800.10 MOVING
1 566.39 312.27 MOVING
2 684.33 598.63 MOVING
3 948.40 719.97 MOVING
4 436.56 198.01 MOVING
5 957.57 947.61 MOVING
6 118.35 44.95 MOVING
7 864.94 57.04 MOVING
8 104.62 278.97 MOVING
9 458.92 988.64 MOVING
10 376.80 812.34 MOVING
11 601.70 708.03 MOVING
12 579.81 838.99 MOVING
13 447.33 220.36 MOVING
14 696.96 874.16 MOVING
15 616.99 815.13 MOVING
16 527.36 411.55 MOVING
17 975.67 26.77 MOVING
18 235.19 826.87 MOVING
19 22.64 509.76 MOVING
20 970.78 974.02 MOVING
21 526.96 657.53 MOVING
22 968.84 252.40 MOVING
23 628.84 894.60 MOVING
24 212.81 776.08 MOVING
