# Network Topology at time 0.0
# Node_ID X_Position Y_Position State
0 260.85 101.26 MOVING
1 311.13 92.47 MOVING
2 669.13 98.66 MOVING
3 43.66 724.09 MOVING
4 447.66 764.73 MOVING
5 280.31 229.88 MOVING
6 774.30 601.30 MOVING
7 609.62 886.89 MOVING
8 611.61 311.88 MOVING
9 850.73 219.24 MOVING
10 503.10 536.62 MOVING
11 294.42 294.17 MOVING
12 414.72 164.38 MOVING
13 445.87 778.84 MOVING
14 375.41 565.83 MOVING
15 250.14 107.05 MOVING
16 357.59 76.55 MOVING
17 998.77 259.78 MOVING
18 969.80 379.10 MOVING
19 630.25 635.49 MOVING
20 759.70 270.33 MOVING
21 180.85 601.62 MOVING
22 129.52 798.30 MOVING
23 349.77 508.81 MOVING
24 977.47 400.37 MOVING
